Kategori,Spørsmål,Score,Kommentar
Gjennomføringsevne,"Hvor godt er selskapets nåværende situasjon, målsetting og strategi beskrevet?",2,"Søknaden gir en grei oversikt over selskapets nåværende situasjon som nyetablert, med en klar beskrivelse av ideen og målsettingene for fremtiden. Strategien for å nå disse målene er også skissert, inkludert planer for ekspansjon og produktlansering. Imidlertid kunne beskrivelsen vært mer detaljert når det gjelder konkrete strategiske tiltak og hvordan selskapet planlegger å overvinne identifiserte hindringer. Det er også noe manglende informasjon om teamets samlede kompetanse og hvordan de skal bidra til å realisere strategien."
Gjennomføringsevne,Hvor tydelig og avgrenset er prosjektet beskrevet?,2,"Prosjektet er beskrevet med en viss grad av klarhet, spesielt når det gjelder ideen og målene. Det er imidlertid noen mangler i detaljeringen av fremdriftsplanen og spesifikke aktiviteter, noe som gjør det vanskelig å få en fullstendig forståelse av prosjektets avgrensning og gjennomføringsplan."
Gjennomføringsevne,Hvor godt er aktivitetene/arbeidspakkene i prosjektet beskrevet?,1,"Aktivitetene i prosjektet er beskrevet, men beskrivelsene er overfladiske og mangler detaljer om konkrete trinn, ansvarlige personer og tidsfrister. Det er behov for en mer strukturert og detaljert fremstilling av aktivitetene for å gi en klar forståelse av hvordan prosjektet skal gjennomføres."
Gjennomføringsevne,Hvor godt er roller og ansvar beskrevet?,2,"Søknaden gir en grei oversikt over roller og ansvar, med klare beskrivelser av teammedlemmene og deres kompetanse. Det er imidlertid noe manglende detaljer om hvordan disse rollene vil bli fordelt og koordinert i prosjektet, spesielt med tanke på fremtidige ansettelser og samarbeidspartnere. Dette trekker noe ned i vurderingen."
Gjennomføringsevne,For FoU-prosjekter: hvor godt er håndteringen av disse beskrevet?,1,"Søknaden gir lite informasjon om hvordan FoU-prosjektet skal håndteres. Det er nevnt at de har tilgang på ressurser fra utviklingsprosessen, men det er ingen detaljert beskrivelse av hvordan FoU-aktiviteter skal organiseres, gjennomføres eller evalueres. Det mangler også informasjon om spesifikke forskningsmetoder, tidslinjer eller milepæler for FoU-arbeidet."
Gjennomføringsevne,Hvor godt er teamets og selskapets erfaring og kompetanse beskrevet?,2,"Søknaden gir en grei oversikt over teamets erfaring og kompetanse, spesielt Joacim Flesjø Grønbergs bakgrunn. Det er imidlertid noe begrenset informasjon om de andre teammedlemmene og deres spesifikke roller i prosjektet. Det kunne vært mer detaljert beskrivelse av hvordan teamets samlede kompetanse vil bidra til prosjektets suksess."
Gjennomføringsevne,"Hvis dere har partnere eller kunder som er en del av prosjektet, hvor godt beskrevet er disse inkludert bidrag under og etter prosjektet?",1,Søknaden nevner tre partnere
Gjennomføringsevne,Hvor gode forutsetninger har selskapet for å kunne realisere 'go-to-market'-planer? f.eks. etablering av kanaler til markedet?,1,"Selskapet har en ambisiøs 'go-to-market'-plan med mål om å lansere produktet i flere markeder over fem år. Imidlertid mangler de konkrete etablerte salgskanaler og har ingen salgsinntekter hittil. Teamet har relevant erfaring, men selskapet er nyetablert og har begrensede ressurser, noe som kan utfordre gjennomføringen av planene."
Gjennomføringsevne,"Hvis dere har leverandører, hvor godt er disse og deres fortinn beskrevet?",0,"Søknaden inneholder ingen informasjon om leverandører eller deres fortrinn. Det er ikke nevnt noen spesifikke leverandører, deres kvalifikasjoner, eller hvordan de bidrar til prosjektets suksess. Dette er en viktig del av vurderingen for å forstå prosjektets gjennomførbarhet og bærekraft."
Gjennomføringsevne,Hvor godt er finansieringsplanen under og etter prosjektet beskrevet i tekst og vedlegg? Er dere tydelig likviditet i perioden?,1,"Finansieringsplanen er mangelfullt beskrevet. Det er en stor avhengighet av ekstern finansiering, med kun 30 000 NOK i egne midler til prosjektet. Likviditetsbudsjettet er lastet opp, men det er uklart hvordan finansieringen skal sikres utover søknaden til Innovasjon Norge. Det er også usikkerhet knyttet til hvordan de vil håndtere likviditeten dersom de ikke får full støtte. Det er behov for en mer detaljert plan for å sikre likviditet i prosjektperioden."
Gjennomføringsevne,Hvor godt kommer det frem at selskapet har spesifikke fordeler som gjør selskapet spesielt egnet til å forvalte investeringen?,1,"Søknaden gir begrenset informasjon om spesifikke fordeler som gjør selskapet spesielt egnet til å forvalte investeringen. Det nevnes at de har egenutviklet hardware og software, samt en plan for å ansette dedikerte ansatte, men det mangler konkrete bevis på tidligere suksess eller unike konkurransefortrinn. Teamet har relevant erfaring, men selskapet er nyetablert uten salgsinntekter eller tidligere tilskudd, noe som svekker inntrykket av robusthet og evne til å håndtere investeringen effektivt."
Statsstøtte-effekt av støtte fra Innovasjon Norge,Hvor godt kommer det frem at dere er avhengig av støtte/lån for å realisere/akselerere prosjektet?,3,"Søknaden tydeliggjør at prosjektet er avhengig av støtte/lån for å realisere og akselerere prosjektet. Det er spesifisert at de har begrensede egne midler og et stort finansieringsbehov, noe som understreker avhengigheten av ekstern finansiering for å dekke prosjektkostnadene."
Statsstøtte-effekt av støtte fra Innovasjon Norge,Hvor godt er teknisk risiko beskrevet i søknaden?,1,Søknaden mangler en detaljert beskrivelse av teknisk risiko. Det er ingen spesifikke identifiseringer av tekniske utfordringer eller usikkerheter knyttet til utviklingen og implementeringen av teknologien. Det er viktig å tydeliggjøre hvilke tekniske aspekter som kan utgjøre risiko og hvordan disse skal håndteres.
Statsstøtte-effekt av støtte fra Innovasjon Norge,Hvor godt er markeds-/kommersiell risiko beskrevet i søknaden?,1,"Søknaden nevner at det største konkurransebildet er risikoen for piratkopiering i Asia, men gir ingen dyptgående analyse av markedsrisiko eller kommersielle utfordringer. Det er en generell beskrivelse av markedet og en påstand om produktets unike egenskaper, men mangler en konkret vurdering av risikoer som kundeaksept, priskonkurranse, og markedsbarrierer."
Statsstøtte-effekt av støtte fra Innovasjon Norge,Hvor godt er klimarisiko (negativ effekt av prosjekt-antagelser og klimaendringer) beskrevet?,0,Søknaden mangler en beskrivelse av klimarisiko. Det er ingen vurdering av hvordan prosjektet kan bli påvirket av klimaendringer eller hvordan prosjektets antagelser kan ha negative effekter på klimaet. Det er viktig å inkludere en analyse av klimarisiko for å få en bedre forståelse av potensielle utfordringer og tiltak for å minimere negative effekter.
Statsstøtte-effekt av støtte fra Innovasjon Norge,"Totalt sett, er risikoen i prosjektet stor nok til at det aktuelt for en bank eller investor å investere i prosjektet uten statsstøtte?",2,"Prosjektet har en viss risiko som kan gjøre det utfordrende for en bank eller investor å investere uten statsstøtte. Selskapet er nyetablert uten salgsinntekter, og det er behov for betydelig ekstern finansiering. Imidlertid er det en innovativ løsning med potensial for miljømessige og samfunnsmessige fordeler, noe som kan tiltrekke seg interesse fra investorer som er villige til å ta høyere risiko."
Statsstøtte-effekt av støtte fra Innovasjon Norge,Hvor godt beskrevet er scenarioene med og uten støtte fra Innovasjon Norge for selskapet?,1,"Søknaden gir en viss innsikt i scenarioene med og uten støtte fra Innovasjon Norge, men beskrivelsen er ikke tilstrekkelig detaljert. Det mangler en klar sammenligning av hvordan prosjektet vil utvikle seg med og uten støtte, samt konkrete konsekvenser for selskapets fremtid uten støtten. Det er behov for en mer utfyllende redegjørelse for å forstå den fulle effekten av Innovasjon Norges støtte."
Statsstøtte-effekt av støtte fra Innovasjon Norge,"Hvor godt er et potensielle investorer beskrevet, helst navngitt, gitt støtte fra Innovasjon Norge? Beskrevet i tekst eller vedlegg?",0,"Søknaden inneholder ingen spesifikk informasjon om potensielle investorer, verken navngitte eller generelle. Det er heller ingen vedlegg som beskriver investorer. Dette er en viktig del av vurderingen for støtte fra Innovasjon Norge, og mangelen på denne informasjonen gir en lav score."
Statsstøtte-effekt av støtte fra Innovasjon Norge,"Hvor godt kommer det frem at dere har kunder som vil kjøpe, gitt gjennomføring av prosjekt (LOI eller tilsvarende)?",1,"Søknaden nevner at det er levert to piloter til Park Nordic AS, men det er ingen konkrete LOI-er eller tilsvarende dokumentasjon som viser forpliktelser fra kunder om å kjøpe produktet etter prosjektets gjennomføring. Det finnes heller ingen detaljerte markedssignaler som tydelig indikerer betalingsvillighet fra potensielle kunder."
Statsstøtte-effekt av støtte fra Innovasjon Norge,"Hvor godt er markedssituasjonen beskrevet, og hvordan støtte fra IN kan posisjonere dere?",1,"Markedssituasjonen er beskrevet på et overordnet nivå, men mangler dybde og konkretisering. Det er nevnt at løsningen er unik og økonomisk bærekraftig, men det gis lite informasjon om konkurransebildet og spesifikke markedsmuligheter. Søknaden nevner at produktet er innovativt og kostnadseffektivt, men det er ikke tilstrekkelig underbygget hvordan Innovasjon Norges støtte vil bidra til å posisjonere selskapet i markedet."
Gjennomføring og detaljer,Svarer søknaden på alle krav som etterspørres i IN sin søknadsportal?,2,"Søknaden inneholder mye relevant informasjon og dekker mange av de nødvendige kravene i Innovasjon Norges søknadsportal. Den gir en god oversikt over prosjektet, teamet, og de økonomiske aspektene. Imidlertid er det noen mangler, som for eksempel utfylling av enkelte felt som ""Om teamet"" og ""Velg benevnelse som vil bli benyttet (årlige størrelser)"". Dette trekker noe ned på helhetsinntrykket."
Gjennomføring og detaljer,"Er språket korrekturlest, både med tanke på tegnsetting og rettskrivning? (Nei = 0, Ja =3)",1,"Søknaden inneholder flere skrivefeil og inkonsekvent bruk av mellomrom, noe som tyder på at språket ikke er grundig korrekturlest. Eksempler inkluderer feil som ""en hva"" i stedet for ""enn hva"", ""T ilsvarende"" i stedet for ""Tilsvarende"", og ""r mer"" i stedet for ""er mer"". Dette påvirker lesbarheten og profesjonaliteten i søknaden."
Gjennomføring og detaljer,Hvor overbevisende/tillitsvekkende er språket i søknaden?,1,"Språket i søknaden er preget av en del skrivefeil og ufullstendige setninger, noe som svekker tilliten til presentasjonen. Det er også en del repetisjon og manglende struktur i teksten, noe som gjør det vanskelig å få en klar forståelse av prosjektets helhet. Forbedringer i språk og struktur ville kunne gjøre søknaden mer overbevisende."
Gjennomføring og detaljer,I hvor stor grad er språket kort og konsist?,1,"Søknaden inneholder mye irrelevant informasjon og er ikke strukturert på en måte som gjør det enkelt å lese. Det er flere steder med unødvendige detaljer og gjentakelser, noe som gjør språket mindre konsist. Det er rom for betydelig forbedring i å gjøre teksten mer kortfattet og fokusert."
Gjennomføring og detaljer,I hvor stor grad er 'buzzwords' unngått?,2,"Søknaden unngår i stor grad bruk av ""buzzwords"" og fokuserer på konkrete beskrivelser av prosjektet og dets mål. Det er noen få steder hvor ord som ""innovativt"", ""fremtidsrettet"" og ""økonomisk bærekraftig"" brukes, men disse er ikke overdrevet og er stort sett relevante for konteksten."
Gjennomføring og detaljer,I hvor stor grad har det blitt benyttet kildehenvisninger for dataunderlag og argumenter?,0,Søknaden inneholder ingen kildehenvisninger for dataunderlag eller argumenter. Det er ingen referanser til eksterne kilder som støtter opp om påstandene eller dataene som presenteres i søknaden.
Gjennomføring og detaljer,"Er timesatser for de forskjellige personalkategoriene innenfor grensene til IN (Nei = 0, Ja =3)",0,"Søknaden inneholder ikke informasjon om timesatser for de forskjellige personalkategoriene, og det er derfor ikke mulig å vurdere om de er innenfor grensene til Innovasjon Norge."
Gjennomføring og detaljer,"Er maksimal støttegrad for de forskjellige aktivitetene tilpasset deres bedrift? (Nei = 0, Ja =3)",3,"Søknaden viser at maksimal støttegrad er tilpasset bedriftens behov. De har en klar plan for hvordan de vil bruke støtten til å dekke fremtidige utgifter og har tilpasset støttegradene til sine aktiviteter. Bedriften har også sikret seg sikkerhet for lånet, noe som viser en gjennomtenkt finansieringsstrategi."
Gjennomføring og detaljer,"Hvis det søkes om lån, hvor godt er sikkerheten for lånet beskrevet og dokumentert?",1,"Sikkerheten for lånet er beskrevet som varelager og immaterielle rettigheter, men dokumentasjonen virker mangelfull og lite detaljert. Det er uklart hvor robust denne sikkerheten er, og det er ikke gitt tilstrekkelig informasjon om verdien av varelageret eller IPR. Det er behov for mer konkret dokumentasjon og vurdering av sikkerhetens verdi."
Gjennomføring og detaljer,Er alle tall dobbeltsjekket opp mot prosjektoppsettet deres?,2,"Søknaden viser at det er gjort en innsats for å dobbeltsjekke tallene, spesielt med hensyn til kostnadsoverslag og finansieringsplan. Det er imidlertid noen mangler i form av detaljerte kommentarer til regnskapet og forutsetninger for enkelte budsjettposter, noe som gjør at det ikke oppnår full score."
Krav fra IN,Krav fra IN: Siste års regnskap,1,"Søknaden inneholder vedlegg med foreløpige tall, men bedriften er nyetablert og har ikke et fullstendig årsregnskap å vise til. Dette gir begrenset innsikt i bedriftens økonomiske situasjon."
Krav fra IN,"Krav fra IN: Perioderegnskab, ikke eldre enn 3 mnd",1,"Søknaden inkluderer vedlegg som årsregnskap og resultat- og balanserapporter, men det er oppgitt at bedriften er nyetablert og derfor ikke har et fullstendig regnskap. Foreløpige tall er sendt, men dette oppfyller ikke kravet om perioderegnskap ikke eldre enn 3 måneder."
Krav fra IN,Krav fra IN: Driftsbudsjett for bedriftens virksomhet de neste 3 årene,2,"Søknaden inkluderer et driftsbudsjett for de neste tre årene, men det mangler detaljer om hvordan de planlegger å oppnå de økonomiske målene. Det er også uklart hvordan de skal håndtere finansieringsbehovet på 2 870 000 NOK med kun 30 000 NOK i egne midler. For å oppnå en høyere score, bør søknaden inkludere mer detaljerte og realistiske forutsetninger for driftsbudsjettet, samt en mer konkret plan for finansiering."
Krav fra IN,Krav fra IN: Eventuelle budsjetter/lønnsomhetsberegninger,2,"Søknaden inkluderer et driftsbudsjett og et likviditetsbudsjett, men det er lite detaljer om forutsetningene for disse budsjettene. Det er positivt at de har lastet opp relevante vedlegg, men det kunne vært mer informasjon om hvordan de planlegger å oppnå lønnsomhet og håndtere finansielle utfordringer."
Krav fra IN,Selskapsrepresentasjon,1,"Søknaden gir en grunnleggende oversikt over selskapets struktur og nøkkelpersoner, men mangler detaljert informasjon om selskapets representasjon utover kontaktinformasjon og roller. Det er lite informasjon om selskapets profil, visjon eller hvordan de ønsker å fremstå i markedet. Dette gjør det vanskelig å vurdere selskapets evne til å representere seg selv effektivt i en konkurransesituasjon."
Krav fra IN,Prosjektpresentasjon,2,"Prosjektpresentasjonen gir en god oversikt over prosjektets mål, ide og potensielle miljøeffekter. Det er tydelig hva prosjektet ønsker å oppnå og hvordan det skiller seg fra eksisterende løsninger. Imidlertid mangler det noe konkret informasjon om markedspotensialet og detaljer om hvordan suksess skal måles utover antall solgte enheter. Det er også viktig å tydeliggjøre hvordan teamet skal utvides og hvilke spesifikke roller som trengs for å nå de langsiktige målene."
Krav fra IN,Organisasjonskart inkludert CV på nøkkelpersoner i prosjektet,2,"Søknaden inkluderer et organisasjonskart med nøkkelpersoner og deres kompetanse, men mangler detaljerte CV-er for alle nøkkelpersoner. Det er positivt at det er oppgitt spesifikke roller og kompetanseområder, men mer utfyllende informasjon om erfaring og kvalifikasjoner kunne styrket vurderingen."
Krav fra IN,"Kundeavtaler, Letter of Intent (LOI), eller annet som understreker markedsbehovet",1,"Søknaden nevner at de har levert to piloter til Park Nordic AS, men det er ingen konkrete kundeavtaler eller Letters of Intent (LOI) som er vedlagt eller beskrevet i detalj. Dette gir en viss indikasjon på markedsinteresse, men mangelen på formelle avtaler svekker beviset på markedsbehovet."
Krav fra IN,"Termsheet, Intensjonsbrev eller lignende som dokumenterer at dere har investor som vil investere gitt støtte fra IN.",0,"Søknaden mangler dokumentasjon som termsheet, intensjonsbrev eller lignende som viser at det er en investor som vil investere gitt støtte fra Innovasjon Norge. Dette er nødvendig for å oppfylle kravet i spørsmålet."
Krav fra IN,"For vedlegg utarbeidet i Excel-format, er disse sendt i originalformatet?",0,"Søknaden nevner ikke at vedlegg i Excel-format er sendt i originalformatet. Det er ingen indikasjon på at Excel-filer er vedlagt i originalformat, noe som er nødvendig for å oppfylle kravet."
