Kategori,Spørsmål,Score,Kommentar
Kapning,Hvor godt er verdiskapningen for samfunnet beskrevet?,2,"Søknaden beskriver verdiskapningen for samfunnet på en god måte ved å fremheve effektivisering av offentlig saksbehandling, redusert feilrate, og raskere tjenester for innbyggere og bedrifter. Det nevnes også positive effekter som økt rettssikkerhet og frigjøring av ressurser i kommuner. Imidlertid kunne beskrivelsen vært mer konkret med kvantitative data for å underbygge påstandene om samfunnseffektene."
Kapning,Hvor godt er miljøgevinsten beskrevet?,1,"Miljøgevinsten er beskrevet, men på et overfladisk nivå. Søknaden nevner at prosjektet kan bidra til miljøvennlige og bærekraftige rutiner ved å redusere papirbaserte prosesser og manuell informasjonsflyt. Det mangler imidlertid konkrete tall eller en dypere analyse av hvordan dette vil påvirke miljøet positivt. En mer detaljert beskrivelse av de direkte og indirekte miljøeffektene ville styrket vurderingen."
Kapning,"Hvor godt er gevinster som bærekraft, likestilling og mangfold beskrevet?",1,"Søknaden nevner noen samfunnsgevinster som effektivisering av offentlig saksbehandling, redusert feilrate og tidsbesparelser, samt miljøvennlige rutiner ved redusert papirbruk. Imidlertid er beskrivelsen av bærekraft, likestilling og mangfold ganske overfladisk og mangler konkrete tiltak eller mål. Det er lite fokus på likestilling og mangfold i teamet eller prosjektet."
Kapning,"Hvor toverig fremstår markedsbeskrivelsen, i både nasjonal og internasjonal perspektiv?",2,"Markedsbeskrivelsen er relativt troverdig, spesielt med tanke på det nasjonale perspektivet. Søknaden nevner konkrete pilotkunder som Fredrikstad og Moss kommune, noe som gir en viss validering av markedspotensialet. Det er imidlertid begrenset informasjon om internasjonale markedsmuligheter, og selv om det er nevnt en ambisjon om å ekspandere til Skandinavia og Europa, mangler det detaljer om internasjonale konkurrenter og spesifikke markedsstrategier utenfor Norge. Dette gjør at markedsbeskrivelsen ikke fullt ut når toppscoren."
Kapning,Hvor tydelig og realistisk er forretningsmodellen beskrevet?,2,"Forretningsmodellen er relativt tydelig beskrevet med fokus på abonnement og partnerskap som inntektsstrømmer. Det er også realistisk med tanke på målgruppen (kommuner og SMB-er) og deres behov for effektivisering av saksbehandling. Imidlertid mangler søknaden detaljer om hvordan de skal sikre inntektsstrømmer fra pilotkunder til betalende kunder, og hvordan de skal håndtere konkurranse fra større aktører som Microsoft. Dette kunne vært bedre belyst for å gi en fullstendig vurdering av forretningsmodellens realisme."
Kapning,Hvor godt er kundeverdien beskrevet?,3,"Kundeverdien er godt beskrevet i søknaden. Det er tydelig hvordan Elentha AI løser konkrete problemer for SMB-er og offentlige organisasjoner ved å effektivisere saksbehandling og informasjonsflyt. Søknaden fremhever hvordan løsningen gir umiddelbare og presise svar, reduserer feil, og sparer tid, noe som er spesielt verdifullt for ressurssvake kommuner. Differensieringen fra eksisterende løsninger som GPT og Copilot er også godt forklart, med fokus på lokal tilpasning og etterprøvbarhet."
Kapning,Hvor godt er interaksjon med kunder beskrevet som en del av prosjektet?,2,"Søknaden beskriver interaksjon med kunder gjennom pilotprosjekter med kommuner som Moss og Fredrikstad. Det er nevnt at de har fått gode tilbakemeldinger fra potensielle kunder, og at de planlegger å besøke pilotkunder for å samle innsikt og forbedre produktet. Selv om det er en god start, kunne søknaden vært mer detaljert om hvordan de kontinuerlig vil involvere kundene i utviklingsprosessen og tilpasse løsningen basert på tilbakemeldinger."
Gjennomføringsevne,"Hvor godt er selskapets nåværende situasjon, målsetting og strategi beskrevet?",3,"Søknaden gir en grundig og klar beskrivelse av selskapets nåværende situasjon, målsettinger og strategi. Den beskriver selskapets historie, produktets utvikling og testing, samt målgruppen og markedet de retter seg mot. Strategien for pilotprosjektet er godt definert, og det er tydelig hvordan selskapet planlegger å gå fra pilot til kommersialisering. Målene for fremtiden er ambisiøse, men realistiske, og det er en klar plan for hvordan disse skal oppnås."
Gjennomføringsevne,Hvor tydelig og avgrenset er prosjektet beskrevet?,3,"Prosjektet er svært tydelig og avgrenset beskrevet. Søknaden gir en klar forståelse av hva Elentha AI er, hvilke problemer det løser, og hvordan det skiller seg fra eksisterende løsninger. Detaljer om prosjektets mål, aktiviteter, og tidsrammer er godt spesifisert, noe som gir et solid grunnlag for vurdering."
Gjennomføringsevne,Hvor godt er aktivitetene/arbeidspakkene i prosjektet beskrevet?,3,"Aktivitetene og arbeidspakkene i prosjektet er svært godt beskrevet. Søknaden gir en detaljert oversikt over hver aktivitet, inkludert mål, hva som skal gjøres, tidsrammer og kostnader. Det er også klart hvordan aktivitetene bidrar til prosjektets overordnede mål om å teste løsningen med pilotkunder og forberede kommersialisering. Beskrivelsen viser en god forståelse av nødvendige trinn for å oppnå suksess i denne fasen av prosjektet."
Gjennomføringsevne,Hvor godt er roller og ansvar beskrevet?,2,"Søknaden gir en grei oversikt over roller og ansvar i teamet, med detaljer om kompetanse og erfaring for de to hovedmedlemmene. Det er imidlertid begrenset informasjon om hvordan ansvar er fordelt mellom dem, og det er lite spesifikt om hvordan eksterne ressurser vil bli brukt i prosjektet. En mer detaljert beskrivelse av ansvarsfordelingen kunne styrket søknaden."
Gjennomføringsevne,For FoU-prosjekter: hvor godt er håndteringen av disse beskrevet?,2,"Søknaden gir en god oversikt over håndteringen av FoU-prosjektet, inkludert detaljer om aktiviteter, mål og kostnader. Det er imidlertid noe rom for forbedring når det gjelder spesifikke detaljer om hvordan prosjektet skal gjennomføres, spesielt i forhold til teknisk utvikling og risikoanalyse. Mer konkret informasjon om FoU-prosesser og metodikk ville styrket søknaden ytterligere."
Gjennomføringsevne,Hvor godt er teamets og selskapets erfaring og kompetanse beskrevet?,3,"Teamets og selskapets erfaring og kompetanse er godt beskrevet. Søknaden gir en klar oversikt over teammedlemmene, deres roller og relevante erfaringer. Bjørn Høili har 20 års erfaring som sivilingeniør med spisskompetanse innen IT-prosjekter, mens Yahiya Hamdan har over 10 års erfaring innen AI og systemutvikling. Dette gir et solid fundament for prosjektets gjennomføring. I tillegg er det nevnt tilgang til eksterne ressurser og nettverk, noe som styrker teamets samlede kompetanse."
Gjennomføringsevne,"Hvis dere har partnere eller kunder som er en del av prosjektet, hvor godt beskrevet er disse inkludert bidrag under og etter prosjektet?",2,"Søknaden beskriver partnere og kunder som er en del av prosjektet, med spesifikk nevning av dialog med Moss og Fredrikstad kommune som pilotkunder. Det er imidlertid begrenset informasjon om konkrete bidrag fra disse partnerne under og etter prosjektet, noe som kunne vært utdypet for å gi en mer helhetlig forståelse av deres rolle og engasjement."
Gjennomføringsevne,Hvor gode forutsetninger har selskapet for å kunne realisere 'go-to-market'-planer? f.eks. etablering av kanaler til markedet?,2,"Selskapet har en ferdig utviklet løsning og har allerede vært i dialog med potensielle pilotkunder, noe som gir dem et godt utgangspunkt for å realisere sine 'go-to-market'-planer. De har også planer om å teste løsningen med pilotkunder og har en klar strategi for å samle innsikt og justere produktet basert på tilbakemeldinger. Imidlertid mangler de salgsinntekter og har ikke dokumentert noen form for eksisterende distribusjonskanaler eller partnerskap som kan hjelpe dem med å nå markedet raskt. Dette gir dem gode, men ikke optimale, forutsetninger for å etablere kanaler til markedet."
Gjennomføringsevne,"Hvis dere har leverandører, hvor godt er disse og deres fortinn beskrevet?",1,"Søknaden nevner at de bruker anerkjente leverandører og unngår de med uklar eierskapsstruktur, men gir ingen spesifikke detaljer om hvem leverandørene er eller hva deres spesifikke fordeler er. Dette gir en generell forståelse av leverandørkvalitet, men mangler dybde og konkrete eksempler."
Gjennomføringsevne,Hvor godt er finansieringsplanen under og etter prosjektet beskrevet i tekst og vedlegg? Er dere tydelig likviditet i perioden?,1,"Finansieringsplanen er mangelfullt beskrevet. Det er ingen detaljer om bedriftens egne midler eller andre finansieringskilder, og det er uklart hvordan likviditeten skal opprettholdes i prosjektperioden. Det er viktig å inkludere konkrete finansieringskilder og en tydelig plan for å sikre likviditet."
Gjennomføringsevne,Hvor godt kommer det frem at selskapet har spesifikke fordeler som gjør selskapet spesielt egnet til å forvalte investeringen?,2,"Søknaden viser at Elentha AS har spesifikke fordeler som gjør dem egnet til å forvalte investeringen, som deres spesialiserte AI-løsning tilpasset norske regelverk og lokal lagring. Teamet har relevant erfaring innen IT og AI, og de har allerede testet løsningen med faktiske byggesaker. Imidlertid mangler de inntekter og har ikke fullført pilotprosjekter, noe som kan svekke tilliten til deres evne til å forvalte investeringen effektivt."
Statsstøtte-effekt av støtte fra Innovasjon Norge,Hvor godt kommer det frem at dere er avhengig av støtte/lån for å realisere/akselerere prosjektet?,1,Søknaden nevner ikke spesifikt hvorfor støtte eller lån er avgjørende for å realisere eller akselerere prosjektet. Det er ingen detaljer om hvordan manglende finansiering vil påvirke prosjektets fremdrift eller suksess. Det er viktig å tydeliggjøre behovet for støtte for å få en høyere score.
Statsstøtte-effekt av støtte fra Innovasjon Norge,Hvor godt er teknisk risiko beskrevet i søknaden?,1,"Søknaden gir en generell beskrivelse av teknologien og dens bruksområder, men mangler en konkret og detaljert vurdering av teknisk risiko. Det er lite informasjon om potensielle tekniske utfordringer, usikkerheter eller hvordan disse vil bli håndtert. En grundigere analyse av teknisk risiko ville styrket søknaden."
Statsstøtte-effekt av støtte fra Innovasjon Norge,Hvor godt er markeds-/kommersiell risiko beskrevet i søknaden?,1,"Søknaden nevner at de har vært i dialog med potensielle pilotkunder som Moss og Fredrikstad kommune, men det er lite konkret informasjon om markeds- og kommersiell risiko. Det er ingen detaljer om hvordan de planlegger å håndtere risikoen ved å ikke ha inntekter eller hvordan de skal konkurrere mot større aktører som Microsoft. Det er behov for en mer grundig analyse av markedsrisiko og strategi for å mitigere denne."
Statsstøtte-effekt av støtte fra Innovasjon Norge,Hvor godt er klimarisiko (negativ effekt av prosjekt-antagelser og klimaendringer) beskrevet?,0,"Søknaden mangler en beskrivelse av klimarisiko, både i form av prosjektets potensielle negative effekter på klimaet og hvordan klimaendringer kan påvirke prosjektet. Det er ingen refleksjon over klimarelaterte utfordringer eller risikohåndtering i prosjektet."
Statsstøtte-effekt av støtte fra Innovasjon Norge,"Totalt sett, er risikoen i prosjektet stor nok til at det aktuelt for en bank eller investor å investere i prosjektet uten statsstøtte?",2,"Prosjektet har en viss risiko som kan tiltrekke seg investorer, men det er fortsatt i en tidlig fase uten inntekter og med behov for pilotkunder. Dette kan gjøre det utfordrende å få bankfinansiering uten statsstøtte, men det er potensial for vekst og markedsaksept som kan appellere til investorer."
Statsstøtte-effekt av støtte fra Innovasjon Norge,Hvor godt beskrevet er scenarioene med og uten støtte fra Innovasjon Norge for selskapet?,1,"Søknaden gir en viss innsikt i scenarioet med støtte fra Innovasjon Norge, ved å beskrive planene for pilotprosjektet og videre utvikling. Imidlertid mangler den en klar beskrivelse av hva som vil skje uten støtte fra Innovasjon Norge, noe som gjør det vanskelig å vurdere den fulle effekten av støtten. En mer detaljert sammenligning av scenarioene med og uten støtte ville styrket søknaden."
Statsstøtte-effekt av støtte fra Innovasjon Norge,"Hvor godt er et potensielle investorer beskrevet, helst navngitt, gitt støtte fra Innovasjon Norge? Beskrevet i tekst eller vedlegg?",1,"Søknaden nevner ikke spesifikke potensielle investorer ved navn, men indikerer at det er interesse fra potensielle pilotkunder og at de har tilgang til et nettverk av erfarne gründere og investorer. Dette gir noe indikasjon på mulig investorinteresse, men mangler konkrete detaljer og navn."
Statsstøtte-effekt av støtte fra Innovasjon Norge,"Hvor godt kommer det frem at dere har kunder som vil kjøpe, gitt gjennomføring av prosjekt (LOI eller tilsvarende)?",2,"Søknaden nevner dialog med Moss og Fredrikstad kommune som potensielle pilotkunder, noe som indikerer en viss grad av markedsaksept. Det er imidlertid ikke nevnt noen konkrete intensjonsavtaler eller LOI (Letter of Intent) som bekrefter betalingsvillighet eller forpliktelse fra kundene. Dette gir en moderat indikasjon på kundebehov, men mangler konkrete bevis på forpliktende kundeinteresse."
Statsstøtte-effekt av støtte fra Innovasjon Norge,"Hvor godt er markedssituasjonen beskrevet, og hvordan støtte fra IN kan posisjonere dere?",2,"Søknaden gir en god beskrivelse av markedssituasjonen ved å identifisere målgruppen som SMB-er og offentlige organer, og ved å fremheve hvordan Elentha AI kan effektivisere saksbehandling. De har også nevnt dialog med potensielle pilotkunder som Moss og Fredrikstad kommune, noe som indikerer en viss markedsaksept. Imidlertid kunne søknaden vært styrket ved å inkludere mer konkret informasjon om markedsstørrelse, konkurranseanalyse og hvordan støtte fra Innovasjon Norge vil konkret bidra til å posisjonere dem i markedet."
Gjennomføring og detaljer,Svarer søknaden på alle krav som etterspørres i IN sin søknadsportal?,3,"Søknaden svarer grundig på alle kravene som etterspørres i Innovasjon Norges søknadsportal. Den gir omfattende informasjon om prosjektet, bedriftens status, forretningsidé, nyhetsverdi, markedsaksept, og fremdriftsplan. Alle nødvendige felt er fylt ut, og det er vedlagt relevante dokumenter som støtter opp om søknaden."
Gjennomføring og detaljer,"Er språket korrekturlest, både med tanke på tegnsetting og rettskrivning? (Nei = 0, Ja =3)",0,"Søknaden inneholder flere skrivefeil og inkonsekvent bruk av mellomrom, som for eksempel ""FREDRIKST AD"" og ""of fentlige"". Det er også feil i tegnsetting, som manglende kommaer og mellomrom før punktum. Dette indikerer at språket ikke er korrekturlest."
Gjennomføring og detaljer,Hvor overbevisende/tillitsvekkende er språket i søknaden?,3,"Språket i søknaden er klart, strukturert og overbevisende. Det gir en grundig og detaljert beskrivelse av prosjektet, teamet og deres planer. Søknaden bruker et profesjonelt språk som gir tillit til søkerens kompetanse og prosjektets gjennomførbarhet."
Gjennomføring og detaljer,I hvor stor grad er språket kort og konsist?,2,"Språket i søknaden er generelt kort og konsist, men det er noen steder hvor det kunne vært mer presist og strømlinjeformet. Enkelte avsnitt inneholder unødvendige detaljer som kan forenkles for å forbedre lesbarheten. Totalt sett er språket effektivt, men det er rom for forbedring i å kutte ned på overflødig informasjon."
Gjennomføring og detaljer,I hvor stor grad er 'buzzwords' unngått?,2,"Søknaden unngår i stor grad overdreven bruk av buzzwords, men enkelte tekniske termer som ""Retrieval-Augmented Generation (RAG)"" og ""AI-agenter"" kan oppfattes som buzzwords uten tilstrekkelig forklaring for en bredere lesergruppe. Det er imidlertid tydelig forsøk på å forklare teknologien og dens anvendelse, noe som reduserer inntrykket av buzzword-bruk."
Gjennomføring og detaljer,I hvor stor grad har det blitt benyttet kildehenvisninger for dataunderlag og argumenter?,0,Søknaden inneholder ingen kildehenvisninger for dataunderlag eller argumenter. Det er viktig å inkludere kilder for å styrke troverdigheten av påstandene og dataene som presenteres.
Gjennomføring og detaljer,"Er timesatser for de forskjellige personalkategoriene innenfor grensene til IN (Nei = 0, Ja =3)",0,"Søknaden gir ingen informasjon om timesatser for de forskjellige personalkategoriene, og det er ikke mulig å vurdere om de er innenfor Innovasjon Norges grenser."
Gjennomføring og detaljer,"Er maksimal støttegrad for de forskjellige aktivitetene tilpasset deres bedrift? (Nei = 0, Ja =3)",3,"Søknaden viser at Elentha AS har en klar forståelse av maksimal støttegrad for deres aktiviteter. De har planlagt aktiviteter som er tilpasset deres behov, og kostnadsstrukturen er tydelig definert. Dette indikerer at de har tilpasset støttegradene til deres bedrifts behov og prosjektets mål."
Gjennomføring og detaljer,"Hvis det søkes om lån, hvor godt er sikkerheten for lånet beskrevet og dokumentert?",0,"Søknaden inneholder ingen informasjon om sikkerheten for lånet, og det er heller ikke dokumentert noen form for sikkerhet. For å kunne gi en høyere score, må søknaden inkludere detaljer om hvilke eiendeler eller garantier som kan stilles som sikkerhet for lånet."
Gjennomføring og detaljer,Er alle tall dobbeltsjekket opp mot prosjektoppsettet deres?,2,"Søknaden gir en detaljert oversikt over prosjektet, inkludert kostnader og aktiviteter, men det er ikke eksplisitt nevnt at tallene er dobbeltsjekket mot prosjektoppsettet. Det er viktig å sikre at alle økonomiske tall og estimater er nøyaktige og bekreftet for å unngå feil i prosjektets gjennomføring. En eksplisitt bekreftelse på at tallene er dobbeltsjekket ville styrket søknaden."
Krav fra IN,Krav fra IN: Siste års regnskap,0,"Søknaden mangler informasjon om siste års regnskap, noe som er et krav fra Innovasjon Norge. Dette er en vesentlig mangel som gjør det umulig å vurdere bedriftens økonomiske situasjon og evne til å gjennomføre prosjektet."
Krav fra IN,"Krav fra IN: Perioderegnskab, ikke eldre enn 3 mnd",0,"Søknaden mangler perioderegnskap som ikke er eldre enn 3 måneder, noe som er et krav fra Innovasjon Norge. Uten dette kan ikke søknaden vurderes i henhold til de finansielle kravene."
Krav fra IN,Krav fra IN: Driftsbudsjett for bedriftens virksomhet de neste 3 årene,0,"Søknaden inneholder ikke et driftsbudsjett for de neste tre årene, som er et krav fra Innovasjon Norge. Det er ingen informasjon om forventede inntekter, utgifter eller økonomiske prognoser for bedriften, noe som er essensielt for å vurdere prosjektets økonomiske bærekraft og gjennomførbarhet."
Krav fra IN,Krav fra IN: Eventuelle budsjetter/lønnsomhetsberegninger,0,"Søknaden inneholder ingen spesifikke budsjetter eller lønnsomhetsberegninger, noe som er et krav fra Innovasjon Norge. Det er viktig å inkludere detaljerte økonomiske planer for å vurdere prosjektets økonomiske levedyktighet."
Krav fra IN,Selskapsrepresentasjon,3,"Søknaden gir en grundig og tydelig representasjon av selskapet Elentha AS. Den beskriver selskapets historie, mål, og nåværende status på en klar og strukturert måte. Teamets kompetanse og erfaring er godt dokumentert, og det er tydelig at de har en klar plan for videre utvikling og kommersialisering. Bedriften har også tatt hensyn til bærekraft og ansvarlig næringsliv, noe som styrker deres posisjon ytterligere."
Krav fra IN,Prosjektpresentasjon,3,"Prosjektpresentasjonen er grundig og godt strukturert. Søknaden gir en klar oversikt over prosjektets mål, innovasjonspotensial og nyhetsverdi. Det er tydelig at teamet har gjort omfattende forarbeid, inkludert testing med pilotkunder og vurdering av markedsaksept. Løsningen har en klar målgruppe og dekker et reelt behov i markedet, med fokus på effektivisering av saksbehandling i offentlig sektor. Teamets kompetanse og erfaring er godt dokumentert, og det er en gjennomtenkt plan for videre utvikling og kommersialisering."
Krav fra IN,Organisasjonskart inkludert CV på nøkkelpersoner i prosjektet,1,"Søknaden mangler et organisasjonskart og detaljerte CV-er for nøkkelpersonene i prosjektet. Selv om det er gitt en kort beskrivelse av erfaringene til de to hovedpersonene, ville mer utfyllende informasjon om deres tidligere prosjekter og spesifikke roller i dette prosjektet gitt en bedre forståelse av teamets kompetanse og gjennomføringsevne."
Krav fra IN,"Kundeavtaler, Letter of Intent (LOI), eller annet som understreker markedsbehovet",2,"Søknaden nevner dialog med Moss og Fredrikstad kommune som potensielle pilotkunder, noe som indikerer en viss markedsaksept. Imidlertid mangler det konkrete kundeavtaler eller signerte intensjonsavtaler som kunne ha styrket beviset for markedsbehovet ytterligere."
Krav fra IN,"Termsheet, Intensjonsbrev eller lignende som dokumenterer at dere har investor som vil investere gitt støtte fra IN.",0,"Søknaden mangler dokumentasjon som termsheet, intensjonsbrev eller lignende som bekrefter at det er en investor som vil investere gitt støtte fra Innovasjon Norge. Dette er et krav for å kunne gi poeng på dette spørsmålet."
Krav fra IN,"For vedlegg utarbeidet i Excel-format, er disse sendt i originalformatet?",3,"Søknaden indikerer at vedleggene er sendt i originalformatet, som er et krav fra Innovasjon Norge. Dette viser at søkeren har fulgt instruksjonene nøye, noe som er viktig for en korrekt og effektiv søknadsprosess."
