Kategori,Spørsmål,Score,Kommentar
Verdiskapning,Hvor godt er kundegruppe og markedet beskrevet?,2,"Søknaden gir en grei beskrivelse av kundegruppen og markedet, med spesifikke referanser til potensielle kunder som Schive. Det er imidlertid rom for forbedring i å tydeliggjøre markedets størrelse og vekstpotensial, samt mer detaljer om konkurransesituasjonen. En mer omfattende markedsanalyse ville styrket beskrivelsen ytterligere."
Gjennomføringsevne,Hvor tydelig og avgrenset er prosjektet beskrevet?,2,"Prosjektet er relativt tydelig beskrevet med klare mål om å utvikle en automatisert løsning for gjenbruk av battericeller fra elbiler. Det er spesifikke detaljer om hvordan de skal gjennomføre diagnostisering og sortering av celler, samt en identifisert kundegruppe. Imidlertid kunne beskrivelsen vært mer strukturert og presis, spesielt når det gjelder prosjektets omfang og spesifikke trinn i utviklingsprosessen. Dette ville gjort prosjektet enda mer avgrenset og lettfattelig."
Gjennomføringsevne,"Hvor godt er målsettingen for prosjektet tilpasset hensikten med ordningen -> validering av problem, løsning og marked?",2,"Prosjektet har en klar målsetting om å validere problem, løsning og marked ved å utvikle en automatisert prosess for gjenbruk av battericeller. Det er tydelig identifisert et behov i markedet, og det er etablert kontakt med potensielle kunder som Schive. Imidlertid kunne søknaden vært styrket med mer konkret informasjon om hvordan valideringen av markedet skal gjennomføres, samt mer detaljer om hvordan de skal teste og validere teknologien i praksis."
Gjennomføringsevne,Hvor godt er suksesskriterier for å kunne gå videre med forretningsideen etter endt prosjekt beskrevet?,1,"Suksesskriteriene for å gå videre med forretningsideen etter prosjektet er vagt beskrevet. Det er nevnt at de ønsker å etablere klare kostnadsrammer og effektivitet for diagnostisering, men det mangler konkrete milepæler eller indikatorer for suksess. Det er behov for en mer detaljert plan som viser hvordan de vil måle fremgang og hva som må oppnås for å gå videre."
Gjennomføringsevne,Hvor godt er teamets og selskapets relevante erfaring og relevant kompetanse beskrevet?,2,"Teamet har relevant teknisk kompetanse innen automasjon, robotikk, maskinlæring og elektronikk, som er viktig for prosjektet. Det er imidlertid uklart om de har tilstrekkelig erfaring med forretningsutvikling og kommersialisering, noe som kan være avgjørende for prosjektets suksess. Eksterne ressurser som Oslomet og Smart Innovation Norway gir støtte, men en mer detaljert beskrivelse av teamets tidligere erfaringer og suksesser kunne styrket søknaden ytterligere."
Gjennomføringsevne,"Hvor er investorer, inkubatorer, rådgivere eller andre støttespillere beskrevet?",2,"Søknaden nevner eksterne støttespillere som Oslomet og Smart Innovation Norway, som bidrar med verksted, utstyr, kompetanse, veiledning og nettverk. Det er også nevnt en interesseavtale med Schive. Imidlertid kunne søknaden vært sterkere ved å inkludere flere detaljer om konkrete investorer eller inkubatorer som er involvert i prosjektet."
Gjennomføringsevne,Hvor godt er kundegruppe og markedet beskrevet?,2,"Søknaden gir en grei beskrivelse av kundegruppen og markedet, med fokus på bedrifter som bygger batterier fra enkeltceller, som Schive. Det nevnes at det er en intensjonsavtale med Schive, noe som indikerer en viss markedsaksept. Imidlertid kunne beskrivelsen vært mer detaljert med hensyn til markedets størrelse, vekstpotensial, og konkurransesituasjon, samt en mer omfattende kartlegging av potensielle kunder."
Utløsende effekt av støtte fra Innovasjon Norge,Hvor godt kommer det frem at dere er avhengig av tilskudd for å realisere prosjektet?,1,"Søknaden gir lite informasjon om hvorfor tilskudd er avgjørende for prosjektets gjennomføring. Det er nevnt at bedriften ikke har egne midler, men det er ingen detaljer om hvorfor tilskuddet er kritisk for å realisere prosjektet eller hvilke konsekvenser det vil ha uten støtte. Det er behov for en tydeligere begrunnelse for avhengigheten av tilskudd."
Utløsende effekt av støtte fra Innovasjon Norge,Hvor godt er risikoen prosjektet skal redusere beskrevet i søknaden?,1,"Søknaden gir en viss innsikt i risikoene knyttet til batterihåndtering, som brannfare og avfallshåndtering, men beskrivelsen av hvordan prosjektet spesifikt skal redusere disse risikoene er mangelfull. Det er behov for en mer detaljert plan for risikoreduksjon og konkrete tiltak for å håndtere identifiserte risikoer."
Utløsende effekt av støtte fra Innovasjon Norge,"Hvis dere har investorer som ønsker å investere i dere, i etterkant av prosjektet, er dette beskrevet?",0,Søknaden inneholder ingen informasjon om investorer som ønsker å investere i selskapet i etterkant av prosjektet. Det er derfor ikke mulig å gi poeng for dette spørsmålet.
Søknadsutforming og detaljer,Svarer søknaden på alle krav som etterspørres i IN sin søknadsportal?,2,"Søknaden gir en omfattende beskrivelse av prosjektet og svarer på de fleste kravene i Innovasjon Norges søknadsportal. Den inkluderer informasjon om prosjektets formål, forretningsidé, miljøeffekter, teamets kompetanse, og fremdriftsplan. Imidlertid er det noen mangler, som for eksempel en mer detaljert beskrivelse av markedsaksept og finansieringsplan, samt en tydeligere struktur i enkelte deler av søknaden. Dette trekker noe ned på helhetsinntrykket."
Søknadsutforming og detaljer,"Er språket korrekturlest, både med tanke på tegnsetting og rettskrivning? (Nei = 0, Ja =3)",0,"Søknaden inneholder flere stavefeil og grammatiske feil, som ""gjennbruks,"" ""intesjon,"" ""diagnsotisere,"" og ""gjennvinning."" Det er også inkonsekvent bruk av mellomrom og tegnsetting, som manglende mellomrom etter komma og punktum. Dette indikerer at språket ikke er korrekturlest."
Søknadsutforming og detaljer,Hvor overbevisende/tillitsvekkende er språket i søknaden?,1,Språket i søknaden er preget av mange skrivefeil og grammatiske feil som svekker profesjonaliteten og troverdigheten. Det er også en del ufullstendige setninger og inkonsekvent bruk av terminologi. Dette kan gjøre det vanskelig for leseren å få en klar forståelse av prosjektet og dets potensial. Forbedring av språket vil kunne gi et mer tillitsvekkende inntrykk.
Søknadsutforming og detaljer,I hvor stor grad er språket kort og konsist?,1,"Språket i søknaden er til tider uklart og inneholder flere skrivefeil som ""gjennbruks"", ""diagnsotisere"", og ""gjennvinning"". Setningene er ofte lange og kunne vært mer konsise. Det er også en del gjentakelser og unødvendig informasjon som kunne vært kuttet ned for å gjøre teksten mer kortfattet og lettlest. Dette trekker ned helhetsinntrykket av søknadens språklige kvalitet."
Søknadsutforming og detaljer,I hvor stor grad er 'buzzwords' unngått?,3,"Søknaden unngår bruk av 'buzzwords' og fokuserer på en klar og konkret beskrivelse av prosjektet og dets mål. Språket er enkelt og direkte, uten unødvendige tekniske termer eller moteord som kan forvirre eller overdrive prosjektets innhold."
Søknadsutforming og detaljer,I hvor stor grad har det blitt benyttet kildehenvisninger for dataunderlag og argumenter?,0,"Søknaden inneholder ingen kildehenvisninger for dataunderlag eller argumenter. Det er ingen referanser til eksterne kilder, studier eller data som støtter opp om påstandene eller planene som presenteres i søknaden. Dette svekker troverdigheten og etterprøvbarheten av informasjonen som er gitt."
"Vedlegg (Nei = 0, Ja = 3)",Finansiell modell eller likviditetsbudsjett for selskapet,0,"Søknaden mangler en detaljert finansiell modell eller likviditetsbudsjett. Det er ingen informasjon om inntekter, kostnader, kontantstrøm eller finansielle prognoser utover de spesifikke prosjektkostnadene som er oppgitt. Dette gjør det vanskelig å vurdere den økonomiske levedyktigheten til prosjektet og selskapet som helhet."
"Vedlegg (Nei = 0, Ja = 3)",Selskaspresentasjon / Pitch-deck,1,"Søknaden gir en grunnleggende oversikt over selskapets intensjoner og mål, men mangler en strukturert og profesjonell presentasjon av selskapet. Det er flere skrivefeil og manglende detaljer om nåværende status og fremtidige planer. Det er også uklart hvordan selskapet planlegger å oppnå sine mål, og det mangler en klar beskrivelse av selskapets unike verdiforslag og konkurransefortrinn. Forbedringer i presentasjonen og en mer detaljert beskrivelse av selskapets strategi og markedspotensial er nødvendig for å oppnå en høyere score."
"Vedlegg (Nei = 0, Ja = 3)",Prosjektpresentasjon,2,"Prosjektpresentasjonen gir en god oversikt over ideen om gjenbruk av battericeller, med klare mål og en forståelse av markedet. Det er en innovativ tilnærming til et eksisterende problem, og det er tydelig at teamet har relevant kompetanse. Imidlertid mangler det detaljer om nåværende fremdrift og konkret markedsaksept, samt en mer omfattende beskrivelse av konkurransesituasjonen. Dette kan forbedres for å gi en mer helhetlig forståelse av prosjektets potensial."
"Vedlegg (Nei = 0, Ja = 3)","Forretningsmodell (hvis ikke en del av selskapspresentasjonen), som 'lean business canvas' eller tilsvarende",2,"Søknaden presenterer en forretningsmodell som viser en forståelse av markedet og en klar plan for hvordan de skal tjene penger på salg av gjenbruksbattericeller. De har identifisert kundebehov og har en intensjonsavtale med en potensiell kunde, noe som gir troverdighet til modellen. Imidlertid mangler det detaljer om hvordan de vil håndtere konkurranse og skalere virksomheten, samt en mer grundig analyse av kostnadsstrukturen og inntektsstrømmene."
"Vedlegg (Nei = 0, Ja = 3)",Konkurrentanalyse (hvis ikke en del av prosjektpresentasjon),0,Søknaden mangler en konkret konkurrentanalyse. Det er ingen beskrivelse av de fem nærmeste konkurrentene eller hvordan deres løsning differensierer seg fra det som allerede eksisterer i markedet. Uten en slik analyse er det vanskelig å vurdere prosjektets konkurransefortrinn.
"Vedlegg (Nei = 0, Ja = 3)",Siste til løsningsforslag,2,"Søknaden presenterer en innovativ løsning for gjenbruk av battericeller fra elbiler, med fokus på automatisering og kostnadseffektivitet. Det er tydelig at søkeren har en forståelse av markedets behov og har etablert en interesseavtale med en potensiell kunde. Imidlertid er det noen mangler i søknaden, som manglende nettside og mer konkret informasjon om markedsaksept og konkurranseanalyse. Det er også behov for mer detaljerte planer for beskyttelse av løsningen og finansieringskilder."
"Vedlegg (Nei = 0, Ja = 3)","For vedlegg utarbeidet i Excel-format, er disse sendt i originalformatet?",0,Søknaden gir ingen indikasjon på at vedlegg utarbeidet i Excel-format er sendt i originalformatet. Det er heller ikke nevnt noen Excel-vedlegg i teksten.
